StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Intro,Repeat,Incognito,Promptly,18orOlder,Understood,WantToContinue,Age,Gender,Country,EdLevel,Major,Browser_Browser,Browser_Version,Browser_Operating System,Browser_Resolution,EdOther,workerId,hitID,assignmentId,sessionID,FL_70_DO
1/21/2021 15:43,1/21/2021 15:45,IP Address,107.181.168.9,100,115,TRUE,1/21/2021 15:45,R_1dE2FmHag0OBB06,,,,,34.04849243,-118.2528992,anonymous,EN,A2J51BI7XS5ZYU,TRUE,TRUE,TRUE,Yes,Yes,Yes,42,Male,United States of America,4-year College Degree,Mathematics,Edge,87.0.664.75,Windows NT 10.0,1360x768,,A2J51BI7XS5ZYU,3ZFRE2BDQ9EDQNO6P4P9I5DO6F2XZ6,3CFVK00FWLLIO3L0ZIUCYXL1JHE6LX,hardfov,FL_81
1/21/2021 15:46,1/21/2021 15:49,IP Address,73.25.149.154,100,179,TRUE,1/21/2021 15:49,R_24cSWmvpuhhiAHM,,,,,45.63780212,-122.5238953,anonymous,EN,A37Q4O126A4RNA,TRUE,TRUE,TRUE,Yes,Yes,Yes,37,Male,United States of America,Some College,Business,Chrome,88.0.4324.96,Windows NT 10.0,1536x864,,A37Q4O126A4RNA,3UL5XDRDNCJP4839A861D2P0E7M853,3ND9UOO81K2GII06Q07GWRKE7J6WLN,hardmap,FL_82
1/21/2021 15:53,1/21/2021 15:57,IP Address,73.198.136.92,100,218,TRUE,1/21/2021 15:57,R_bDFIppZS6qsNbjP,,,,,40.69470215,-74.26879883,anonymous,EN,A1SISJL5ST2PWH,TRUE,TRUE,TRUE,Yes,Yes,Yes,37,Male,United States of America,4-year College Degree,Computer Science,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,A1SISJL5ST2PWH,32PT7WK7DMFY7OCWDXTOKX5HB2S3DE,34YB12FSQYO4RESRB74DA1DFD06MGG,mediummap,FL_80
1/21/2021 15:54,1/21/2021 15:59,IP Address,76.174.91.177,100,263,TRUE,1/21/2021 15:59,R_eDMveAOauKW3fJ7,,,,,34.10270691,-118.2230988,anonymous,EN,A318M33K2896OL,TRUE,TRUE,TRUE,Yes,Yes,Yes,30,Male,United States of America,Some College,Information systems,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,A318M33K2896OL,32PT7WK7DMFY7OCWDXTOKX5HB2S3DE,3HVVDCPGTES8Q03BEARV3FFBC4STYM,easymap,FL_78
1/21/2021 16:00,1/21/2021 16:01,IP Address,68.174.44.22,100,66,TRUE,1/21/2021 16:01,R_1DuPQmPugpLuyIv,,,,,40.71490479,-73.98930359,anonymous,EN,A1AYQ8E01NSY5Z,TRUE,TRUE,TRUE,Yes,Yes,Yes,37,Male,United States of America,4-year College Degree,Sociology,Chrome,87.0.4280.141,Windows NT 10.0,1600x900,,A1AYQ8E01NSY5Z,3UL5XDRDNCJP4839A861D2P0E7M853,3LKC68YZ3A3OO3333SN8O8O82OBWO4,easymap,FL_78
1/21/2021 16:00,1/21/2021 16:04,IP Address,24.30.76.237,100,291,TRUE,1/21/2021 16:04,R_3gxLLh5Gu3yWAuJ,,,,,33.78379822,-84.44550323,anonymous,EN,A1DL3NEZFY4V4E,TRUE,TRUE,TRUE,Yes,Yes,Yes,32,Female,United States of America,High School / GED,,Chrome,87.0.4280.141,Windows NT 10.0,1536x864,,A1DL3NEZFY4V4E,32PT7WK7DMFY7OCWDXTOKX5HB2S3DE,3AMYWKA6YBMQUOOXCAA4QEPVEMJ6OE,mediummap,FL_80
1/21/2021 16:11,1/21/2021 16:14,IP Address,72.88.147.210,100,139,TRUE,1/21/2021 16:14,R_31c1deiiAUAn7DF,,,,,40.76669312,-74.03109741,anonymous,EN,A28J7H4TH29DC3,TRUE,TRUE,TRUE,Yes,Yes,Yes,50,Female,United States of America,4-year College Degree,Finance,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,A28J7H4TH29DC3,3UL5XDRDNCJP4839A861D2P0E7M853,3VAR3R6G1P1DY27L5P72ASLMKH8O8H,hardfov,FL_81
1/21/2021 16:19,1/21/2021 16:21,IP Address,107.13.11.206,100,121,TRUE,1/21/2021 16:21,R_3nrvuzCECijiCig,,,,,35.29260254,-78.02729797,anonymous,EN,A1GKD3NG1NNHRP,TRUE,TRUE,TRUE,Yes,Yes,Yes,60,Female,United States of America,2-year College Degree,accounting,Chrome,88.0.4324.96,Windows NT 10.0,1147x645,,A1GKD3NG1NNHRP,32PT7WK7DMFY7OCWDXTOKX5HB2S3DE,3AMYWKA6YBMQUOOXCAA4QEPVEMJ6OE,hardmap,FL_82
1/21/2021 16:20,1/21/2021 16:22,IP Address,75.131.106.237,100,95,TRUE,1/21/2021 16:22,R_1dMLUme6bHp630o,,,,,43.4282074,-83.97640228,anonymous,EN,AH00EJ6PK1H3A,TRUE,TRUE,TRUE,Yes,Yes,Yes,36,Male,United States of America,High School / GED,general,Chrome,87.0.4280.141,Windows NT 10.0,2560x1080,,AH00EJ6PK1H3A,3UL5XDRDNCJP4839A861D2P0E7M853,35GCEFQ6I5O3W9FMVHNNZ9KFOZK3Z7,mediumfov,FL_79
1/21/2021 16:40,1/21/2021 16:43,IP Address,174.71.32.212,100,165,TRUE,1/21/2021 16:43,R_BuoOhjWHmQWjsmB,,,,,41.28540039,-96.1493988,anonymous,EN,A2GTJ0BD4CG1A2,TRUE,TRUE,TRUE,Yes,Yes,Yes,34,Male,United States of America,2-year College Degree,Information Technology,Firefox,84,Windows NT 6.1,1920x1080,,A2GTJ0BD4CG1A2,32PT7WK7DMFY7OCWDXTOKX5HB2S3DE,3E13VNJ1NNVLRGCX89LIBL2SU241IG,easyfov,FL_77
1/21/2021 16:40,1/21/2021 16:44,IP Address,68.161.180.62,100,232,TRUE,1/21/2021 16:44,R_piy9PvTJJgFTQRP,,,,,40.73640442,-73.86949921,anonymous,EN,A3VA5BS033GXU0,TRUE,TRUE,TRUE,Yes,Yes,Yes,25,Male,United States of America,Doctoral Degree,Physical Therapy/Biology,Chrome,88.0.4324.96,Windows NT 10.0,1920x1080,,A3VA5BS033GXU0,3UL5XDRDNCJP4839A861D2P0E7M853,34S9DKFK73PAVNYRHE5JUG9JNM6YNQ,hardfov,FL_81
1/21/2021 16:53,1/21/2021 16:56,IP Address,68.106.20.90,100,228,TRUE,1/21/2021 16:56,R_2VvZm9BoGtD2JOv,,,,,32.25030518,-110.9449997,anonymous,EN,A12J4IRF5Z06BT,TRUE,TRUE,TRUE,Yes,Yes,Yes,37,Male,United States of America,4-year College Degree,Computer Science,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,A12J4IRF5Z06BT,3N7PQ0KLI5P3ZUQW9S48QFN2BET3E7,373ERPL3YO8ZTZRP0FZ1VJME9HHTRO,easyfov,FL_77
1/21/2021 16:26,1/21/2021 16:58,IP Address,68.103.170.223,100,1941,TRUE,1/21/2021 16:58,R_31hkBqVUURnvMZI,,,,,37.06759644,-97.03569794,anonymous,EN,A11YS0T8MV3Q7C,TRUE,TRUE,TRUE,Yes,Yes,Yes,30,Male,United States of America,High School / GED,Construction,Chrome,88.0.4324.104,Windows NT 6.1,1366x768,,A11YS0T8MV3Q7C,32PT7WK7DMFY7OCWDXTOKX5HB2S3DE,38JBBYETQOAQ3A7UZ8ETO4B3ET8E4Y,hardmap,FL_82
1/21/2021 16:58,1/21/2021 16:59,IP Address,192.209.17.153,100,87,TRUE,1/21/2021 16:59,R_3Dj5M93XYLF9Ia1,,,,,35.29240417,-86.6446991,anonymous,EN,A3NMQ3019X6YE0,TRUE,TRUE,TRUE,Yes,Yes,Yes,42,Female,United States of America,High School / GED,,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,A3NMQ3019X6YE0,32PT7WK7DMFY7OCWDXTOKX5HB2S3DE,3TE3O857308590XCH0F5UWDO940R2Q,mediummap,FL_80
1/21/2021 16:57,1/21/2021 17:01,IP Address,174.111.195.93,100,268,TRUE,1/21/2021 17:01,R_3IWWwAtpx2flCVO,,,,,36.03219604,-79.8588028,anonymous,EN,A4158R4Y06ZB4,TRUE,TRUE,TRUE,Yes,Yes,Yes,30,Male,United States of America,Some College,N/A,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,A4158R4Y06ZB4,3N7PQ0KLI5P3ZUQW9S48QFN2BET3E7,3EA3QWIZ4IVM00O6AS5SHRLNMLYTIK,easymap,FL_78
1/21/2021 17:01,1/21/2021 17:03,IP Address,70.16.136.132,100,94,TRUE,1/21/2021 17:03,R_smLzrzk8RZu6eEV,,,,,39.93400574,-75.16000366,anonymous,EN,A15WRJKRWC80DA,TRUE,TRUE,TRUE,Yes,Yes,Yes,35,Male,United States of America,Some College,asian studies,Firefox,84,Windows NT 10.0,1536x864,,A15WRJKRWC80DA,3UL5XDRDNCJP4839A861D2P0E7M853,3LKC68YZ3A3OO3333SN8O8O82OBWO4,mediumfov,FL_79
1/21/2021 17:10,1/21/2021 17:13,IP Address,73.220.78.51,100,173,TRUE,1/21/2021 17:13,R_2aWRvXeb1jQaBhA,,,,,37.67550659,-121.0068054,anonymous,EN,AYH5S2NOTSFKR,TRUE,TRUE,TRUE,Yes,Yes,Yes,39,Female,United States of America,High School / GED,N/A,Firefox,84,Windows NT 10.0,1280x720,,AYH5S2NOTSFKR,32PT7WK7DMFY7OCWDXTOKX5HB2S3DE,3907X2AHF05KXNHX48BGP1D98MGP20,easymap,FL_78
1/21/2021 17:18,1/21/2021 17:21,IP Address,172.72.35.35,100,218,TRUE,1/21/2021 17:21,R_veHN0sp2TiUoHLz,,,,,35.17120361,-80.79389954,anonymous,EN,A1SLJKNSNHOJRN,TRUE,TRUE,TRUE,Yes,Yes,Yes,37,Male,United States of America,4-year College Degree,Advertising/Mass Communications ,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,A1SLJKNSNHOJRN,32PT7WK7DMFY7OCWDXTOKX5HB2S3DE,3TE3O857308590XCH0F5UWDO940R2Q,mediummap,FL_80
1/21/2021 17:34,1/21/2021 17:39,IP Address,68.5.169.47,100,300,TRUE,1/21/2021 17:39,R_3Es6a6Z44cep0wh,,,,,33.61239624,-117.6400986,anonymous,EN,A302KOFOYLD89A,TRUE,TRUE,TRUE,Yes,Yes,Yes,43,Female,United States of America,2-year College Degree,Nursing,Chrome,87.0.4280.141,Macintosh,1024x640,,A302KOFOYLD89A,3ZFRE2BDQ9EDQNO6P4P9I5DO6F2XZ6,3J2UYBXQQLC5R7WEAP8T0DTDGJ960U,hardmap,FL_82
1/21/2021 17:53,1/21/2021 17:56,IP Address,24.19.49.79,100,155,TRUE,1/21/2021 17:56,R_2dDUdydrCLTrldT,,,,,47.76780701,-122.1186981,anonymous,EN,A2OVOVZBJYUO,TRUE,TRUE,TRUE,Yes,Yes,Yes,34,Female,United States of America,4-year College Degree,computer science,Chrome,88.0.4324.96,Windows NT 10.0,1920x1080,,A2OVOVZBJYUO,3ZFRE2BDQ9EDQNO6P4P9I5DO6F2XZ6,33F859I566DM8JJ54OWMHLEMG1JHBP,hardfov,FL_81
1/21/2021 18:08,1/21/2021 18:11,IP Address,67.253.201.215,100,184,TRUE,1/21/2021 18:11,R_1BRYTyJrhlAjr1o,,,,,43.21380615,-77.45749664,anonymous,EN,A10JXOU89D5RXR,TRUE,TRUE,TRUE,Yes,Yes,Yes,59,Female,United States of America,4-year College Degree,electrical engineering,Chrome,87.0.4280.141,Windows NT 10.0,1536x864,,A10JXOU89D5RXR,3ZFRE2BDQ9EDQNO6P4P9I5DO6F2XZ6,33F859I566DM8JJ54OWMHLEMG1JHBP,easyfov,FL_77
1/21/2021 18:04,1/21/2021 18:12,IP Address,63.152.47.189,100,516,TRUE,1/21/2021 18:12,R_1cXMoppQCTCjTxu,,,,,41.95039368,-91.68969727,anonymous,EN,A3UJSDFJ9LBQ6Z,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Female,United States of America,2-year College Degree,Web Development,Chrome,88.0.4324.96,Windows NT 10.0,1680x1050,,A3UJSDFJ9LBQ6Z,32PT7WK7DMFY7OCWDXTOKX5HB2S3DE,3FTOP5WARFOHF2BLU82I9HYI2PU0JV,mediumfov,FL_79
1/21/2021 18:13,1/21/2021 18:14,Spam,63.152.47.189,100,66,TRUE,1/21/2021 18:14,R_8uDYh3xferRGrqp,,,,,41.95039368,-91.68969727,anonymous,EN,A3UJSDFJ9LBQ6Z,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Female,United States of America,2-year College Degree,Web Development,Chrome,88.0.4324.96,Windows NT 10.0,1680x1050,,A3UJSDFJ9LBQ6Z,32PT7WK7DMFY7OCWDXTOKX5HB2S3DE,3FTOP5WARFOHF2BLU82I9HYI2PU0JV,hardmap,FL_82
1/21/2021 18:15,1/21/2021 18:17,IP Address,63.152.47.189,100,86,TRUE,1/21/2021 18:17,R_AvdcBAHuSRwzttL,,,,,41.95039368,-91.68969727,anonymous,EN,A3UJSDFJ9LBQ6Z,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Female,United States of America,2-year College Degree,Web Development,Firefox,83,Windows NT 10.0,1680x1050,,A3UJSDFJ9LBQ6Z,32PT7WK7DMFY7OCWDXTOKX5HB2S3DE,3FTOP5WARFOHF2BLU82I9HYI2PU0JV,hardfov,FL_81
1/22/2021 10:17,1/22/2021 10:20,IP Address,73.161.247.123,100,187,TRUE,1/22/2021 10:20,R_UN4vbUAgov5D0SB,,,,,42.72390747,-83.42320251,anonymous,EN,AZNIEFUIVB2H0,TRUE,TRUE,TRUE,Yes,Yes,Yes,53,Male,United States of America,4-year College Degree,sociology,Chrome,87.0.4280.141,Windows NT 10.0,2560x1440,,AZNIEFUIVB2H0,33NOQL7T9OZNBMNYHWDH26WVF7JZ8S,3PH3VY7DJLX0N7HA51YP46VCMUUWZQ,mediummap,FL_80
1/22/2021 10:19,1/22/2021 10:21,IP Address,174.126.143.151,100,173,TRUE,1/22/2021 10:22,R_Uls1WbavbAx1QIN,,,,,33.479599,-88.35279846,anonymous,EN,A3A8P4UR9A0DWQ,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Female,United States of America,4-year College Degree,Education,Chrome,87.0.4280.141,Windows NT 10.0,1366x768,,A3A8P4UR9A0DWQ,3NKW03WTLM7PNVIPS3AAPTNDSB1WQA,326O153BMIY336QNSJFMR859R8FDES,easyfov,FL_77
1/22/2021 10:20,1/22/2021 10:23,IP Address,65.96.235.186,100,167,TRUE,1/22/2021 10:23,R_1kY61lOGgEYOC6R,,,,,42.42799377,-71.0617981,anonymous,EN,A1SOFLJOEQB591,TRUE,TRUE,TRUE,Yes,Yes,Yes,43,Male,United States of America,Masters Degree,Marketing,Chrome,87.0.4280.88,Macintosh,1440x900,,A1SOFLJOEQB591,33NOQL7T9OZNBMNYHWDH26WVF7JZ8S,3W8CV64QJ2Z3KQ4864IQQFJWS3SH9V,easymap,FL_78
1/22/2021 10:17,1/22/2021 10:28,IP Address,172.220.244.5,100,687,TRUE,1/22/2021 10:28,R_3lYzqn90Th4eAWa,,,,,35.58309937,-78.7881012,anonymous,EN,A3RHJEMZ4EGY2U,TRUE,TRUE,TRUE,Yes,Yes,Yes,26,Female,United States of America,4-year College Degree,Biology,Chrome,87.0.4280.141,Windows NT 10.0,1536x864,,A3RHJEMZ4EGY2U,33NOQL7T9OZNBMNYHWDH26WVF7JZ8S,3QY7M81QH7MQ8XHNXSN3PB8IPU8K7Q,mediumfov,FL_79
1/22/2021 10:21,1/22/2021 10:30,IP Address,73.147.12.248,100,526,TRUE,1/22/2021 10:30,R_plB5s8HQ5GPVs6B,,,,,37.2696991,-81.22119904,anonymous,EN,AJQ71YIGY01HZ,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Female,United States of America,4-year College Degree,Leadership,Chrome,88.0.4324.104,Windows NT 10.0,1280x720,,AJQ71YIGY01HZ,3OWZNK3RYLPV38RZVS58BN4DRPCU2V,3PEIJLRY6TTBICHV4JA47LF1EUWWXT,easyfov,FL_77
1/22/2021 10:17,1/22/2021 10:32,IP Address,23.132.80.64,100,906,TRUE,1/22/2021 10:32,R_2fIJiVvbDFUktbG,,,,,43.95469666,-86.28009796,anonymous,EN,A25FH7PXC446RG,TRUE,TRUE,TRUE,Yes,Yes,Yes,554,Female,United States of America,2-year College Degree,business,Chrome,87.0.4280.141,Windows NT 10.0,1366x768,,A25FH7PXC446RG,3OWZNK3RYLPV38RZVS58BN4DRPCU2V,3SKEMFQBZ35U8BM67XF93B4D0EEK8D,mediumfov,FL_79
1/22/2021 10:26,1/22/2021 10:32,IP Address,198.134.108.68,100,373,TRUE,1/22/2021 10:32,R_2cpTWeMkcEA2UI3,,,,,39.7684021,-86.15799713,anonymous,EN,A30ZF45ASY02Z6,TRUE,TRUE,TRUE,Yes,Yes,Yes,35,Male,United States of America,4-year College Degree,computer science,Chrome,87.0.4280.141,Windows NT 10.0,1440x900,,A30ZF45ASY02Z6,33NOQL7T9OZNBMNYHWDH26WVF7JZ8S,3Z4AIRP3C6DIHB1S7VLJEVP7IHNX1V,hardfov,FL_81
1/22/2021 10:32,1/22/2021 10:35,IP Address,209.54.29.102,100,212,TRUE,1/22/2021 10:35,R_2CslzyMnQd8n6l6,,,,,42.48570251,-98.64559937,anonymous,EN,ALEE1QD4TW9G4,TRUE,TRUE,TRUE,Yes,Yes,Yes,48,Female,United States of America,2-year College Degree,business,Chrome,87.0.4280.141,Windows NT 10.0,1536x864,,ALEE1QD4TW9G4,33NOQL7T9OZNBMNYHWDH26WVF7JZ8S,3R3YRB5GRF3MUVKXY93P5PJ6STCUAO,mediummap,FL_80
1/22/2021 10:32,1/22/2021 10:38,IP Address,69.250.244.15,100,345,TRUE,1/22/2021 10:38,R_24C0565flSsIefm,,,,,39.07150269,-76.69629669,anonymous,EN,A3URLNXHLP4ARU,TRUE,TRUE,TRUE,Yes,Yes,Yes,48,Female,United States of America,Masters Degree,information systems,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,A3URLNXHLP4ARU,33NOQL7T9OZNBMNYHWDH26WVF7JZ8S,3GLB5JMZFXV1NKMEYE5ARBQL4OUDG9,hardmap,FL_82
1/22/2021 10:33,1/22/2021 10:38,IP Address,136.37.115.99,100,343,TRUE,1/22/2021 10:38,R_2PtxifRQ0y0QRp3,,,,,39.04519653,-94.71890259,anonymous,EN,AD75IYA9OIIQF,TRUE,TRUE,TRUE,Yes,Yes,Yes,49,Male,United States of America,4-year College Degree,Advertising,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,AD75IYA9OIIQF,3OWZNK3RYLPV38RZVS58BN4DRPCU2V,3KRVW3HTZNL7HJ1I67YUZFWI1DGMSK,easymap,FL_78
1/22/2021 10:35,1/22/2021 10:39,IP Address,173.79.40.200,100,201,TRUE,1/22/2021 10:39,R_3pmWqp1I4yDc9tR,,,,,39.08279419,-77.16739655,anonymous,EN,A13WTEQ06V3B6D,TRUE,TRUE,TRUE,Yes,Yes,Yes,28,Male,United States of America,Masters Degree,Biology,Chrome,87.0.4280.141,Windows NT 10.0,1500x1000,,A13WTEQ06V3B6D,3OWZNK3RYLPV38RZVS58BN4DRPCU2V,3GM6G9ZBKNX8WJEXV73K9KS43WUMT9,easymap,FL_78
1/22/2021 10:38,1/22/2021 10:40,IP Address,184.59.201.43,100,111,TRUE,1/22/2021 10:40,R_2y7NXgcPxzMwZqj,,,,,44.54580688,-88.10189819,anonymous,EN,AQV468FB908WI,TRUE,TRUE,TRUE,Yes,Yes,Yes,36,Female,United States of America,4-year College Degree,Business,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,AQV468FB908WI,33NOQL7T9OZNBMNYHWDH26WVF7JZ8S,3TGOYF991XM694YV4EKG5QV0ZW4UU0,hardmap,FL_82
1/22/2021 10:39,1/22/2021 10:41,IP Address,23.132.80.64,100,85,TRUE,1/22/2021 10:41,R_3oA3FGHbeQuwrBH,,,,,43.95469666,-86.28009796,anonymous,EN,A25FH7PXC446RG,TRUE,TRUE,TRUE,Yes,Yes,Yes,54,Female,United States of America,2-year College Degree,business,Chrome,87.0.4280.141,Windows NT 10.0,1366x768,,A25FH7PXC446RG,3OWZNK3RYLPV38RZVS58BN4DRPCU2V,3SKEMFQBZ35U8BM67XF93B4D0EEK8D,hardfov,FL_81
1/22/2021 10:37,1/22/2021 10:41,IP Address,24.151.126.210,100,240,TRUE,1/22/2021 10:41,R_scxqFb3j5NHMSQN,,,,,41.92790222,-73.06939697,anonymous,EN,A27VFM67RPD2L5,TRUE,TRUE,TRUE,Yes,Yes,Yes,49,Female,United States of America,High School / GED,n/a,Chrome,87.0.4280.141,Windows NT 10.0,1366x768,,A27VFM67RPD2L5,3NKW03WTLM7PNVIPS3AAPTNDSB1WQA,3XUHV3NRVKYKJ32W3E59EZEU679H54,mediumfov,FL_79
1/22/2021 10:43,1/22/2021 10:46,IP Address,99.26.245.247,100,178,TRUE,1/22/2021 10:46,R_1IyMObkdYWzzFvA,,,,,34.96890259,-82.14800262,anonymous,EN,AK3H5QRAROFGP,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Male,United States of America,4-year College Degree,philosophy,Chrome,87.0.4280.141,Windows NT 10.0,1536x864,,AK3H5QRAROFGP,3NKW03WTLM7PNVIPS3AAPTNDSB1WQA,3K2755HG5S3V9KQJNUZS9QQ939UDFA,mediummap,FL_80
1/22/2021 10:46,1/22/2021 10:49,IP Address,73.163.145.19,100,227,TRUE,1/22/2021 10:50,R_1Ke7xEDPzMTgKf0,,,,,39.28909302,-76.5582962,anonymous,EN,A13GUTDMGGZZDL,TRUE,TRUE,TRUE,Yes,Yes,Yes,34,Male,United States of America,4-year College Degree,communications,Chrome,87.0.4280.142,CrOS x86_64 13505.100.0,1366x768,,A13GUTDMGGZZDL,3OWZNK3RYLPV38RZVS58BN4DRPCU2V,3ZOTGHDK5IBVHMMUJND7RJLNWDVSO5,easyfov,FL_77
1/22/2021 10:48,1/22/2021 10:52,IP Address,71.28.89.108,100,209,TRUE,1/22/2021 10:52,R_2CUHBtFVeTjHgev,,,,,35.05990601,-80.69760132,anonymous,EN,A1F9KLZGHE9DTA,TRUE,TRUE,TRUE,Yes,Yes,Yes,45,Male,United States of America,Some College,Business,Chrome,87.0.4280.141,Windows NT 10.0,1158x651,,A1F9KLZGHE9DTA,3OWZNK3RYLPV38RZVS58BN4DRPCU2V,3JBT3HLQF82A3YK9TFKUCCNGTXRZPY,mediumfov,FL_79
1/22/2021 11:05,1/22/2021 11:10,IP Address,104.56.198.37,100,300,TRUE,1/22/2021 11:10,R_6GqH8LKo6q9fuUh,,,,,25.53329468,-80.39730072,anonymous,EN,A2AYR99VJ3X2AZ,TRUE,TRUE,TRUE,Yes,Yes,Yes,46,Male,United States of America,4-year College Degree,Engineering,Firefox,81,Windows NT 10.0,1366x768,,A2AYR99VJ3X2AZ,33NOQL7T9OZNBMNYHWDH26WVF7JZ8S,3907X2AHF05KXNHX48BGP1D98OT2PU,easymap,FL_78
1/22/2021 11:10,1/22/2021 11:13,IP Address,70.121.123.133,100,147,TRUE,1/22/2021 11:13,R_3Kw5aHoROjLOau5,,,,,30.36430359,-97.68640137,anonymous,EN,A1CMWA0L8FTSXA,TRUE,TRUE,TRUE,Yes,Yes,Yes,34,Non-Binary,United States of America,Masters Degree,English,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,A1CMWA0L8FTSXA,3NKW03WTLM7PNVIPS3AAPTNDSB1WQA,3PDJHANYK5GG272A8XFE65SU22KH6K,mediummap,FL_80
1/22/2021 11:05,1/22/2021 11:18,IP Address,50.80.27.116,100,765,TRUE,1/22/2021 11:18,R_BzFoJn56jwAVFLP,,,,,42.05250549,-91.72720337,anonymous,EN,AN9MVFWRCF2OP,TRUE,TRUE,TRUE,Yes,Yes,Yes,30,Male,United States of America,2-year College Degree,Graphic Design,Chrome,87.0.4280.141,Windows NT 10.0,1536x864,,AN9MVFWRCF2OP,3OWZNK3RYLPV38RZVS58BN4DRPCU2V,3ZOTGHDK5IBVHMMUJND7RJLNWDVSO5,hardmap,FL_82
1/22/2021 11:23,1/22/2021 11:26,IP Address,172.58.70.154,100,200,TRUE,1/22/2021 11:26,R_3soxgT2Q7dryS8z,,,,,37.66239929,-97.31559753,anonymous,EN,A2FFSM2AD8ME56,TRUE,TRUE,TRUE,Yes,Yes,Yes,31,Female,United States of America,Some College,Medical,Chrome,87.0.4280.141,Android 9,412x823,,A2FFSM2AD8ME56,33NOQL7T9OZNBMNYHWDH26WVF7JZ8S,3FE2ERCCZX8Y4U62R69DWEGC9TOPOM,easyfov,FL_77
1/22/2021 11:31,1/22/2021 11:34,IP Address,67.255.75.221,100,174,TRUE,1/22/2021 11:34,R_3PSruGdSjzO3FcO,,,,,43.75740051,-71.68810272,anonymous,EN,A2QP9ZGIW4R7C2,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Female,United States of America,4-year College Degree,English,Firefox,84,Windows NT 10.0,1366x768,,A2QP9ZGIW4R7C2,33NOQL7T9OZNBMNYHWDH26WVF7JZ8S,3FE2ERCCZX8Y4U62R69DWEGC9TOPOM,hardfov,FL_81
1/22/2021 11:32,1/22/2021 11:35,IP Address,65.30.189.173,100,181,TRUE,1/22/2021 11:35,R_OKnOh0m2AqJ5teN,,,,,42.95100403,-87.9437027,anonymous,EN,A2W3Q8OCO18HEN,TRUE,TRUE,TRUE,Yes,Yes,Yes,49,Female,United States of America,4-year College Degree,Computer Science,Chrome,88.0.4324.96,Macintosh,1440x900,,A2W3Q8OCO18HEN,3NKW03WTLM7PNVIPS3AAPTNDSB1WQA,3OE22WJIGIOEHBREN50BVPYBWBYQUR,mediummap,FL_80
1/22/2021 11:37,1/22/2021 11:39,IP Address,75.132.176.211,100,116,TRUE,1/22/2021 11:39,R_1o6KniO9xiSV2am,,,,,38.56820679,-89.89649963,anonymous,EN,A38DHLB88V8DL8,TRUE,TRUE,TRUE,Yes,Yes,Yes,46,Female,United States of America,4-year College Degree,psychology,Chrome,87.0.4280.141,Windows NT 10.0,1536x864,,A38DHLB88V8DL8,33NOQL7T9OZNBMNYHWDH26WVF7JZ8S,3DR23U6WE5EAKVMKE9F1WCNVUU5ETE,hardfov,FL_81
1/22/2021 11:41,1/22/2021 11:48,IP Address,64.145.93.225,100,410,TRUE,1/22/2021 11:48,R_1LZMbuS8EXqc8jp,,,,,37.75100708,-97.8219986,anonymous,EN,AIHUIAQ4922K3,TRUE,TRUE,TRUE,Yes,Yes,Yes,31,Male,United States of America,4-year College Degree,Computer Science,Chrome,87.0.4280.141,Windows NT 10.0,1600x900,,AIHUIAQ4922K3,3NKW03WTLM7PNVIPS3AAPTNDSB1WQA,3XM0HYN6NKZCS3TDXS6HR2MY5RIEP7,mediumfov,FL_79
1/22/2021 11:48,1/22/2021 11:52,IP Address,47.41.128.85,100,242,TRUE,1/22/2021 11:52,R_3J3sj1aCOeChobp,,,,,43.10040283,-89.27159882,anonymous,EN,A2SV6TAIJO32BX,TRUE,TRUE,TRUE,Yes,Yes,Yes,46,Male,United States of America,4-year College Degree,business,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,A2SV6TAIJO32BX,3NKW03WTLM7PNVIPS3AAPTNDSB1WQA,3KV0LJBBH2LVG415RIYP95RMFBXMRW,easyfov,FL_77
